GEN,AGE,MS,EDU,OCC,INC,LO1,LO2,LO3,LO4,SA1,SA2,SA3,SA4,EN1,EN2,EN3,EN4,EN5,RM1,RM2,RM3,RM4,INS1,INS2,INS3,EMP1,EMP2,EMP3,EMP4,EMP5,EMP6,EMP7,EMP8
1,3,2,1,4,3,4,4,4,4,4,5,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,3,3,3
1,1,1,3,1,1,4,4,3,4,4,4,4,4,4,3,4,4,3,4,4,4,3,4,4,4,4,4,4,4,4,4,4,5
1,1,2,2,1,2,4,4,4,5,4,4,4,4,3,5,3,4,4,4,4,5,3,3,4,4,4,4,4,4,4,4,4,4
1,4,2,1,1,3,4,4,4,5,4,4,3,4,4,3,4,3,4,5,5,4,4,4,4,5,4,3,4,4,4,4,5,4
1,2,2,2,3,2,3,4,4,3,5,4,3,4,4,4,3,4,3,3,3,4,4,4,3,4,3,3,4,3,3,3,3,3
1,1,2,2,1,1,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,3,3,3,4
1,1,1,1,1,1,4,4,3,3,3,4,4,5,5,4,4,4,5,4,5,4,4,3,3,4,4,3,4,3,3,3,4,4
1,3,2,1,1,1,3,3,3,3,4,4,3,3,4,4,4,4,3,4,4,4,4,3,4,4,3,3,4,4,4,3,4,3
1,1,1,2,3,2,3,4,4,3,3,3,4,4,3,3,5,5,4,3,5,4,4,5,5,4,4,3,4,4,3,3,4,4
1,1,1,1,1,1,4,3,3,3,4,3,4,4,4,4,3,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,5,4
1,2,2,3,4,3,3,3,4,3,4,3,5,4,5,4,4,4,5,5,4,3,3,4,4,4,4,3,5,4,4,3,3,4
1,3,3,1,1,3,4,4,3,4,3,4,4,4,4,4,4,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,4,3
1,1,1,2,1,1,4,4,4,3,3,3,4,4,3,3,4,4,4,4,4,4,4,4,4,4,3,3,4,5,3,3,4,4
1,4,3,1,1,1,4,4,3,4,5,5,4,4,3,3,4,4,3,3,4,5,5,4,5,5,5,4,4,4,3,3,4,5
1,1,1,2,1,1,4,4,3,4,3,3,4,4,3,4,3,4,4,4,4,4,4,3,3,4,4,4,4,4,4,3,3,4
1,3,2,2,3,2,3,4,3,3,4,4,3,3,4,4,3,3,5,5,5,4,4,3,4,4,4,5,5,4,5,4,5,4
1,1,2,3,1,1,4,4,3,4,4,4,4,4,4,4,3,4,3,3,3,3,3,4,4,5,5,3,4,5,4,4,3,3
1,4,2,1,2,2,4,4,4,4,3,5,4,3,4,4,3,3,4,4,4,3,4,4,3,4,4,3,4,4,4,4,4,4
1,4,3,1,2,1,3,4,3,5,4,4,3,5,5,4,4,3,5,5,4,4,4,3,5,4,5,4,3,4,3,5,5,4
1,3,2,1,1,3,4,4,5,4,4,5,4,4,4,5,3,4,5,3,4,3,4,4,4,4,4,5,4,4,5,4,5,4
1,3,2,1,1,2,5,5,4,5,5,4,4,4,3,5,4,4,4,3,4,4,4,3,5,5,5,4,5,4,4,4,5,4
1,4,3,1,1,2,3,4,4,4,4,4,4,4,3,4,4,4,4,3,3,3,3,4,4,4,3,4,4,4,4,3,3,4
1,1,2,1,4,2,4,4,5,5,4,4,5,4,3,4,5,5,4,3,4,4,5,4,4,4,3,4,5,5,5,4,4,4
1,1,1,3,4,4,4,4,3,4,4,3,4,4,4,5,4,4,4,4,4,4,5,4,4,4,4,4,4,5,4,5,5,4
1,2,2,3,4,3,3,4,3,5,4,5,4,4,5,5,3,4,3,5,5,4,4,4,4,5,4,3,5,5,4,3,4,3
1,3,1,3,3,3,4,4,5,5,4,3,4,4,5,4,4,4,4,3,4,4,4,5,5,4,4,4,4,3,3,4,5,5
1,1,2,3,1,1,3,4,4,3,3,4,4,4,3,3,3,3,4,4,4,3,3,4,4,4,4,3,4,3,3,4,3,4
1,2,3,2,4,3,5,4,4,5,4,4,4,4,3,4,5,5,3,4,4,4,4,5,5,5,3,3,3,3,4,3,4,5
1,2,2,2,1,3,4,4,3,5,4,3,2,3,4,3,4,5,4,4,4,3,3,4,3,3,4,4,4,4,3,4,4,4
1,1,2,2,3,4,4,3,5,3,4,4,4,5,4,3,3,3,4,4,5,4,4,3,5,4,3,3,4,4,5,5,4,3
1,3,3,1,1,2,4,4,3,5,3,4,4,4,5,5,4,4,4,5,5,4,5,4,4,3,3,3,4,4,4,3,3,3
1,3,2,1,2,3,4,3,3,3,3,4,3,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,3,4,3,3,3
1,3,2,1,4,3,5,4,4,4,3,3,3,3,4,5,4,4,5,3,3,4,5,4,4,5,4,4,3,3,3,4,5,5
1,2,3,1,2,2,5,3,4,4,4,5,3,4,5,5,5,4,3,4,4,5,4,4,3,3,4,4,4,4,4,4,3,4
1,2,2,2,3,3,5,3,4,5,3,4,4,4,4,4,4,4,4,4,4,4,5,5,4,4,3,3,3,3,3,3,3,4
1,1,1,1,2,1,4,5,5,4,5,5,4,5,3,3,3,4,3,4,4,3,4,3,3,4,4,4,3,4,4,4,3,4
1,1,1,3,3,4,4,4,4,4,4,4,4,3,4,4,4,4,4,3,3,4,4,4,3,4,4,4,4,4,5,3,3,3
1,4,2,1,1,3,4,4,3,4,4,4,4,4,4,4,5,5,4,4,4,3,3,3,3,3,4,3,4,5,4,4,4,4
1,2,2,1,2,2,3,4,5,5,4,4,4,4,3,5,5,5,4,4,5,4,5,4,4,4,3,4,4,3,3,4,5,3
1,1,1,2,2,3,4,3,3,4,4,4,4,4,4,3,4,3,4,3,3,3,4,4,4,4,4,4,4,5,3,5,3,3
1,4,3,1,1,1,3,3,4,5,5,5,4,3,3,3,4,5,3,4,5,5,5,5,4,4,4,3,4,3,5,5,4,4
1,2,1,4,4,4,4,4,3,4,4,4,4,5,4,4,5,5,4,4,5,4,5,4,4,4,4,4,4,4,5,4,4,4
1,1,2,1,1,1,3,3,4,3,4,3,3,3,4,4,4,4,4,3,3,5,4,3,4,4,3,3,4,3,5,4,4,3
1,3,2,2,1,2,3,4,3,4,4,4,4,5,4,4,4,3,3,4,4,4,4,4,4,4,3,4,4,3,4,5,5,4
1,3,2,3,3,3,3,3,4,3,3,4,4,5,4,3,4,5,4,3,3,4,4,4,4,5,3,5,3,4,3,4,4,3
1,3,2,3,4,3,4,3,4,4,4,3,3,3,4,4,3,4,3,3,4,3,4,5,4,4,4,4,4,4,4,3,4,3
1,3,3,3,4,3,4,4,4,4,4,3,5,3,4,4,3,4,4,4,4,3,4,4,4,4,4,4,4,4,5,5,3,5
1,2,2,1,1,2,4,3,4,4,3,4,5,4,5,4,3,3,4,4,4,5,4,4,5,5,5,5,5,5,4,5,4,4
1,2,2,2,3,4,4,5,4,5,4,5,4,5,4,5,3,4,4,4,5,3,2,4,4,5,5,3,3,4,4,5,4,4
1,1,1,3,3,4,5,4,5,5,3,3,4,3,4,3,3,3,4,3,4,4,5,4,3,3,3,3,3,3,4,4,3,3
1,2,2,3,3,4,4,4,4,4,4,3,4,4,4,2,4,5,5,4,3,4,5,4,4,5,5,5,5,4,4,4,4,4
1,3,2,3,4,4,3,3,4,3,3,4,4,5,4,5,3,4,4,5,3,3,5,4,4,3,3,5,3,4,3,5,4,3
1,3,2,2,4,3,4,3,5,5,5,5,4,4,4,4,4,5,4,5,4,4,4,4,4,4,3,4,4,4,4,3,4,4
1,1,1,3,3,4,4,2,4,4,4,4,3,3,4,3,5,4,5,4,4,4,4,5,3,5,5,5,4,3,5,5,4,4
1,3,3,1,1,3,4,4,5,5,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,3,3,3,3,3
1,1,1,3,3,4,4,4,3,4,4,5,5,4,5,3,5,4,4,3,4,3,3,4,4,4,3,4,4,3,4,3,4,4
1,4,3,1,2,1,3,3,4,4,5,5,3,4,4,3,3,4,3,3,4,5,5,4,5,3,5,5,3,4,3,4,4,4
1,3,2,2,3,3,4,4,4,4,3,4,4,4,4,4,4,5,5,4,4,5,4,5,5,4,4,4,4,5,4,4,3,3
1,2,2,1,2,2,4,4,3,4,4,4,3,4,4,4,5,5,4,4,5,4,4,4,4,4,3,4,4,4,4,3,4,4
1,4,2,1,1,2,3,3,3,3,3,3,4,3,4,5,4,4,4,4,4,5,4,3,4,4,4,4,3,4,4,4,3,4
1,1,1,2,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1,1,1,3,3,3,3,3,4,4,3,3,4,4,3,3,4,3,3,3,4,5,3,4,4,3,5,3,5,5,4,3,3,4
1,3,2,2,4,3,4,4,5,4,3,3,3,3,3,3,3,3,3,4,4,4,4,5,4,4,4,4,3,3,4,4,4,3
1,3,2,2,1,3,4,4,3,5,4,5,4,4,4,4,3,4,3,3,4,4,4,4,4,4,4,4,4,4,4,5,4,5
1,3,2,2,3,2,4,3,4,5,3,3,3,3,3,3,3,3,5,4,5,4,4,4,4,3,3,5,3,4,3,4,3,3
1,3,3,2,3,3,3,3,3,4,4,3,3,5,3,3,4,4,4,3,5,4,4,5,4,3,3,4,4,3,4,3,3,3
1,2,2,1,2,2,5,5,5,5,4,4,4,5,4,5,4,4,5,5,4,4,5,5,4,4,4,4,5,4,5,3,4,4
1,4,2,1,1,1,5,5,3,3,3,4,4,4,4,4,5,5,3,4,4,4,4,4,5,4,4,3,4,4,4,4,4,4
1,2,2,3,3,4,4,4,5,5,4,4,4,5,4,5,4,4,5,4,4,4,5,5,4,4,5,4,5,5,4,5,5,4
1,1,1,3,3,3,3,3,4,4,3,5,3,4,3,5,4,3,3,4,5,4,4,4,4,4,4,3,3,4,5,4,4,3
1,3,2,3,3,3,4,3,3,3,3,3,3,4,3,4,4,3,3,5,4,3,3,3,3,3,3,4,4,3,4,4,3,3
1,4,2,1,1,1,4,4,4,4,3,3,4,3,3,4,4,4,3,4,4,3,3,3,3,3,3,4,4,3,3,3,3,3
1,3,2,3,3,4,4,4,4,3,5,3,5,5,4,3,5,5,3,5,4,4,4,4,4,4,4,4,5,5,4,4,4,4
1,4,3,1,1,1,3,4,3,3,4,3,3,3,5,4,3,3,5,5,4,3,3,4,3,5,3,3,4,3,4,5,4,3
1,1,1,3,3,4,4,5,5,4,5,3,4,5,4,5,3,4,4,4,4,4,5,5,4,4,4,5,5,4,5,4,5,4
1,3,2,1,1,1,4,4,4,4,3,3,3,5,5,5,5,5,4,4,4,5,4,4,4,4,3,4,4,3,4,4,4,4
1,3,2,3,4,4,4,4,4,5,5,5,4,4,5,5,5,4,4,5,5,5,5,5,5,4,4,3,4,5,4,5,5,4
1,3,2,1,3,3,3,4,4,4,3,5,3,3,4,4,4,4,3,4,3,3,4,4,3,4,4,5,4,4,3,4,4,4
1,1,1,2,3,4,4,4,5,5,4,5,5,4,4,3,3,3,4,4,4,5,5,4,4,4,4,4,4,4,3,3,4,3
1,1,2,3,3,4,4,4,3,3,4,4,4,4,4,4,4,3,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,3
1,1,1,2,3,1,4,4,4,4,3,3,3,3,4,4,4,3,3,3,3,3,3,3,3,3,4,4,4,3,3,3,3,3
1,1,2,3,1,3,4,4,4,4,4,4,4,4,4,4,3,3,4,4,5,5,5,4,5,4,4,4,4,4,4,4,4,4
1,4,2,1,1,2,4,3,3,4,4,3,3,4,5,4,4,4,5,4,4,3,4,3,3,3,4,4,5,5,5,5,5,5
1,1,2,2,2,3,3,4,4,3,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4
1,4,2,1,4,4,4,4,4,3,3,3,4,4,4,4,4,3,4,3,5,4,4,3,4,4,3,3,3,4,4,3,3,3
1,1,1,3,3,2,4,3,3,3,4,3,3,3,3,3,3,3,4,3,3,4,4,3,3,3,4,3,3,3,4,4,3,3
1,1,1,2,1,1,4,4,4,4,3,3,3,4,4,4,4,4,4,4,4,3,3,3,3,3,3,4,4,3,5,4,4,4
1,3,2,1,1,2,4,3,4,4,4,3,5,4,4,4,5,4,4,4,4,5,5,4,4,4,4,4,4,4,4,4,4,4
1,1,1,2,1,1,4,4,4,3,3,3,4,4,4,3,3,3,3,3,3,3,3,3,4,3,3,3,3,4,3,3,4,4
1,1,1,3,3,2,3,3,4,4,3,5,4,5,4,5,5,4,5,4,5,5,4,5,5,5,5,4,3,4,3,4,5,3
1,1,1,1,4,4,3,4,4,3,3,3,3,3,4,4,4,4,3,3,4,3,4,4,4,3,3,4,4,4,4,3,3,4
1,3,2,2,1,3,4,4,4,4,4,3,5,4,4,5,4,5,5,4,4,5,4,4,5,4,4,4,5,4,4,4,5,5
1,1,1,3,1,1,3,4,3,4,4,4,4,4,3,4,4,3,4,3,5,4,4,3,3,4,4,4,4,5,5,4,4,4
1,2,2,2,3,3,3,4,3,3,3,4,4,4,4,5,4,5,5,3,3,3,3,4,4,3,5,4,4,3,4,4,4,3
1,2,2,3,4,3,3,4,3,4,3,3,3,4,3,3,4,4,4,3,4,4,4,4,4,3,3,3,4,3,3,4,4,4
1,1,1,2,1,1,3,4,3,4,3,4,4,3,3,4,4,3,3,3,4,4,3,4,4,4,4,4,4,4,4,4,3,4
1,2,2,3,3,4,5,5,4,3,5,4,5,3,4,5,4,5,4,4,4,4,4,4,5,4,4,5,5,4,5,5,5,5
1,4,3,1,2,1,3,4,3,3,3,4,4,4,5,4,5,4,4,3,3,4,3,3,3,5,4,3,4,5,3,4,4,3
1,1,1,2,1,1,3,4,4,4,5,4,3,3,4,4,3,4,4,4,3,4,3,4,4,4,3,4,3,3,3,4,3,3
1,3,2,3,1,3,5,5,5,4,5,5,5,5,4,5,4,5,5,4,4,5,4,4,4,5,4,3,5,4,3,4,5,4
1,1,1,2,1,2,4,3,3,4,5,4,4,3,3,3,3,4,4,3,4,4,4,3,3,4,4,4,5,5,4,3,3,3
1,4,2,1,1,1,3,3,4,3,3,4,3,4,4,5,4,4,4,4,4,4,4,4,3,4,5,3,4,4,4,5,4,4
1,1,1,3,3,3,4,3,3,3,4,4,4,4,4,3,3,3,3,3,3,4,4,3,3,4,3,3,4,4,3,3,4,4
1,3,2,3,4,4,3,3,3,3,3,4,4,4,5,5,5,5,4,4,4,3,3,5,4,3,3,3,3,4,3,3,3,3
1,1,1,3,3,4,5,4,4,5,4,4,5,4,4,5,4,4,4,4,4,4,5,4,5,5,4,4,5,5,4,4,5,5
1,2,2,2,3,3,4,5,3,4,4,5,4,5,3,4,5,4,2,4,5,4,5,4,4,5,3,5,4,4,5,3,4,5
1,1,1,2,1,1,3,3,3,4,4,4,5,5,4,4,4,4,4,3,3,5,4,4,5,4,4,4,3,4,4,4,4,4
1,3,3,2,2,1,4,3,4,5,5,4,3,3,4,5,4,4,3,3,4,4,4,3,4,5,3,4,4,3,4,3,4,4
1,1,1,2,1,2,4,5,4,4,5,4,5,4,5,4,3,1,4,5,5,4,4,4,5,4,5,4,5,4,5,4,5,4
1,1,2,2,1,1,4,4,3,3,3,4,4,4,4,4,4,3,4,4,4,3,4,3,3,4,4,3,3,3,4,4,4,3
1,1,2,1,3,2,3,4,4,4,3,3,4,4,3,5,5,3,3,5,5,4,5,5,5,3,3,3,5,4,3,2,4,4
1,1,1,2,1,1,3,3,3,3,3,4,3,3,3,3,3,4,5,4,5,4,4,3,4,5,3,4,3,3,3,3,3,3
1,1,2,2,3,3,4,3,4,5,5,4,3,4,4,5,5,3,4,4,4,4,3,4,5,5,4,4,4,4,4,4,3,4
1,2,2,3,4,4,5,4,5,4,4,3,4,4,4,5,4,4,4,5,4,4,4,4,5,5,4,4,5,4,4,5,5,4
1,3,2,4,3,4,4,4,3,4,5,3,3,5,4,5,5,3,3,4,3,4,4,3,3,4,3,3,4,4,5,5,4,4
1,1,2,1,2,3,3,3,4,4,4,3,4,4,3,3,3,4,4,4,4,4,4,4,4,4,3,4,4,5,4,3,4,3
1,2,2,3,3,3,5,3,3,3,3,4,4,5,3,4,4,3,4,5,5,5,5,3,3,4,4,3,3,2,3,5,4,4
1,1,1,3,1,1,3,4,4,5,3,3,4,4,4,5,5,4,4,3,3,4,4,3,3,3,3,4,4,4,3,3,4,4
1,2,1,4,3,4,5,5,4,4,5,4,5,4,4,5,4,4,5,4,5,5,5,5,4,5,4,5,4,4,4,4,4,4
1,1,2,1,1,1,3,3,3,3,4,4,4,5,3,4,4,4,4,4,4,4,4,5,4,4,3,3,4,4,4,4,3,4
1,3,3,4,3,4,5,5,3,3,5,4,4,3,4,5,5,5,5,3,3,4,4,4,4,4,3,3,3,3,4,3,3,3
1,2,1,4,4,4,4,4,4,5,5,4,4,5,4,5,5,5,4,4,5,5,5,4,5,5,4,4,5,5,5,4,4,4